om,yr,mo,dy,date,time,ts,tz,st,slat,slon,elat,elon
698085,2021,1,1,1/1/2021,14:40:00,1/1/21 14:40:00,3,GA,33.22,-83.35,33.22,-83.35
698086,2021,1,6,1/6/2021,17:30:00,1/6/21 17:30:00,3,TX,29.44,-95.38,29.44,-95.38
698087,2021,1,6,1/6/2021,20:00:00,1/6/21 20:00:00,3,LA,30.2,-93.58,30.2,-93.58
698088,2021,1,6,1/6/2021,22:50:00,1/6/21 22:50:00,3,LA,30.28,-91.9,30.28,-91.9
698089,2021,1,13,1/13/2021,1:00:00,1/13/21 1:00:00,3,WA,45.72,-122.04,45.72,-122.04
698090,2021,1,13,1/13/2021,1:12:00,1/13/21 1:12:00,3,OR,44.92,-123.47,44.92,-123.47
698091,2021,1,13,1/13/2021,2:01:00,1/13/21 2:01:00,3,WA,46.34,-123.08,46.34,-123.08
698092,2021,1,25,1/25/2021,0:00:00,1/25/21 0:00:00,3,TX,33.63,-99.3,33.63,-99.3
698093,2021,1,25,1/25/2021,0:02:00,1/25/21 0:02:00,3,TX,33.6,-99.26,33.6,-99.26
698094,2021,1,25,1/25/2021,6:31:00,1/25/21 6:31:00,3,TX,31.88,-97.08,31.88,-97.08
698095,2021,1,25,1/25/2021,7:03:00,1/25/21 7:03:00,3,TX,32.2306,-96.4668,32.2365,-96.3957
698096,2021,1,25,1/25/2021,7:35:00,1/25/21 7:35:00,3,TX,32.54,-95.88,32.54,-95.88
698097,2021,1,25,1/25/2021,7:48:00,1/25/21 7:48:00,3,OK,33.9014,-94.7383,33.9014,-94.7383
698098,2021,1,25,1/25/2021,10:10:00,1/25/21 10:10:00,3,AR,33.6638,-93.6652,33.6638,-93.6652
698099,2021,1,25,1/25/2021,11:45:00,1/25/21 11:45:00,3,KY,36.87,-86.35,36.87,-86.35
698100,2021,1,25,1/25/2021,12:26:00,1/25/21 12:26:00,3,TN,36.62,-87.1431,36.62,-87.1431
698101,2021,1,25,1/25/2021,13:40:00,1/25/21 13:40:00,3,KY,36.756,-86.0382,36.756,-86.0382
698102,2021,1,25,1/25/2021,14:15:00,1/25/21 14:15:00,3,KY,36.754,-85.4653,36.754,-85.4653
698103,2021,1,25,1/25/2021,14:15:00,1/25/21 14:15:00,3,KY,36.9965,-85.913,36.9965,-85.913
698104,2021,1,25,1/25/2021,14:20:00,1/25/21 14:20:00,3,AZ,32.5087,-111.9469,32.5087,-111.9469
698105,2021,1,25,1/25/2021,14:25:00,1/25/21 14:25:00,3,AZ,33.4793,-112.4107,33.4793,-112.4107
698106,2021,1,25,1/25/2021,14:29:00,1/25/21 14:29:00,3,AZ,33.4996,-112.3552,33.4996,-112.3552
698107,2021,1,25,1/25/2021,14:36:00,1/25/21 14:36:00,3,AZ,33.59,-112.29,33.59,-112.29
698108,2021,1,25,1/25/2021,14:40:00,1/25/21 14:40:00,3,AZ,33.51,-112.24,33.51,-112.24
698109,2021,1,25,1/25/2021,14:40:00,1/25/21 14:40:00,3,AZ,33.5728,-112.1881,33.5728,-112.1881
698110,2021,1,25,1/25/2021,14:40:00,1/25/21 14:40:00,3,AZ,33.63,-112.12,33.63,-112.12
698111,2021,1,25,1/25/2021,14:45:00,1/25/21 14:45:00,3,AZ,33.61,-112.13,33.61,-112.13
698112,2021,1,25,1/25/2021,14:45:00,1/25/21 14:45:00,3,AZ,33.37,-111.8,33.37,-111.8
698113,2021,1,25,1/25/2021,14:49:00,1/25/21 14:49:00,3,AZ,33.5277,-112.2972,33.5277,-112.2972
698114,2021,1,25,1/25/2021,14:50:00,1/25/21 14:50:00,3,AZ,33.57,-111.98,33.57,-111.98
698115,2021,1,25,1/25/2021,14:50:00,1/25/21 14:50:00,3,AZ,33.66,-112.13,33.66,-112.13
698116,2021,1,25,1/25/2021,14:53:00,1/25/21 14:53:00,3,AZ,33.68,-112.09,33.68,-112.09
698117,2021,1,25,1/25/2021,14:55:00,1/25/21 14:55:00,3,AZ,33.51,-112.09,33.51,-112.09
698118,2021,1,25,1/25/2021,14:55:00,1/25/21 14:55:00,3,AZ,33.608,-112.0661,33.608,-112.0661
698119,2021,1,25,1/25/2021,15:00:00,1/25/21 15:00:00,3,AZ,33.65,-112.1,33.65,-112.1
698120,2021,1,25,1/25/2021,15:00:00,1/25/21 15:00:00,3,AZ,33.56,-111.93,33.56,-111.93
698121,2021,1,25,1/25/2021,16:05:00,1/25/21 16:05:00,3,TN,35.0314,-89.8597,35.0314,-89.8597
698122,2021,1,25,1/25/2021,17:50:00,1/25/21 17:50:00,3,TN,35.62,-87.55,35.62,-87.55
698123,2021,1,25,1/25/2021,18:40:00,1/25/21 18:40:00,3,MS,32.9,-89.63,32.9,-89.63
698124,2021,1,25,1/25/2021,19:07:00,1/25/21 19:07:00,3,TN,35.78,-87.47,35.78,-87.47
698125,2021,1,25,1/25/2021,19:40:00,1/25/21 19:40:00,3,MS,33.13,-88.86,33.13,-88.86
698126,2021,1,25,1/25/2021,21:17:00,1/25/21 21:17:00,3,KY,36.7185,-84.6101,36.7185,-84.6101
698127,2021,1,25,1/25/2021,21:56:00,1/25/21 21:56:00,3,KY,36.7543,-84.0298,36.7543,-84.0298
698128,2021,1,26,1/26/2021,0:10:00,1/26/21 0:10:00,3,MS,32.2192,-89.4005,32.2192,-89.4005
698129,2021,1,26,1/26/2021,1:30:00,1/26/21 1:30:00,3,GA,34.0412,-84.5539,34.0412,-84.5539
698130,2021,1,26,1/26/2021,4:40:00,1/26/21 4:40:00,3,GA,33.3494,-84.8366,33.3226,-84.6475
698131,2021,1,26,1/26/2021,5:04:00,1/26/21 5:04:00,3,GA,33.3054,-84.4718,33.3054,-84.4718
698132,2021,1,26,1/26/2021,5:05:00,1/26/21 5:05:00,3,GA,33.2245,-84.5736,33.2245,-84.5736
698133,2021,1,26,1/26/2021,5:29:00,1/26/21 5:29:00,3,GA,33.5519,-83.8471,33.5519,-83.8471
698134,2021,1,26,1/26/2021,12:25:00,1/26/21 12:25:00,3,GA,32.6206,-82.3469,32.6206,-82.3469
698135,2021,1,27,1/27/2021,8:01:00,1/27/21 8:01:00,3,GA,32.15,-81.61,32.15,-81.61
698136,2021,1,27,1/27/2021,8:06:00,1/27/21 8:06:00,3,GA,32.15,-81.6,32.15,-81.6
698137,2021,1,27,1/27/2021,8:15:00,1/27/21 8:15:00,3,GA,32.18,-81.46,32.18,-81.46
698138,2021,1,27,1/27/2021,8:18:00,1/27/21 8:18:00,3,GA,32.13,-81.39,32.13,-81.39
698139,2021,1,27,1/27/2021,8:19:00,1/27/21 8:19:00,3,GA,32.16,-81.39,32.16,-81.39
698140,2021,1,27,1/27/2021,8:21:00,1/27/21 8:21:00,3,GA,32.17,-81.35,32.17,-81.35
698141,2021,1,27,1/27/2021,8:45:00,1/27/21 8:45:00,3,GA,30.9116,-84.5683,30.9116,-84.5683
698142,2021,1,27,1/27/2021,9:04:00,1/27/21 9:04:00,3,SC,32.38,-80.68,32.38,-80.68
698143,2021,1,27,1/27/2021,10:15:00,1/27/21 10:15:00,3,GA,30.85,-83.8,30.85,-83.8
698144,2021,1,27,1/27/2021,12:53:00,1/27/21 12:53:00,3,FL,30.33,-82.96,30.33,-82.96
698145,2021,1,27,1/27/2021,12:55:00,1/27/21 12:55:00,3,FL,30.31,-82.98,30.31,-82.98
698146,2021,1,27,1/27/2021,12:56:00,1/27/21 12:56:00,3,FL,30.32,-82.93,30.32,-82.93
698147,2021,1,27,1/27/2021,13:24:00,1/27/21 13:24:00,3,FL,30.32,-82.71,30.32,-82.71
698148,2021,1,27,1/27/2021,13:35:00,1/27/21 13:35:00,3,FL,30.33,-82.75,30.33,-82.75
698149,2021,1,30,1/30/2021,16:58:00,1/30/21 16:58:00,3,MO,36.83,-94.04,36.83,-94.04
698150,2021,1,31,1/31/2021,22:45:00,1/31/21 22:45:00,3,FL,30.3432,-81.6347,30.3432,-81.6347
698151,2021,2,6,2/6/2021,5:45:00,2/6/21 5:45:00,3,FL,29.78,-82.03,29.78,-82.03
698152,2021,2,6,2/6/2021,13:20:00,2/6/21 13:20:00,3,FL,29.54,-82.86,29.54,-82.86
698153,2021,2,6,2/6/2021,17:50:00,2/6/21 17:50:00,3,FL,29.92,-81.68,29.92,-81.68
698154,2021,2,6,2/6/2021,19:40:00,2/6/21 19:40:00,3,FL,29.48,-81.42,29.48,-81.42
698155,2021,2,6,2/6/2021,19:45:00,2/6/21 19:45:00,3,FL,29.54,-81.26,29.54,-81.26
698156,2021,2,13,2/13/2021,8:15:00,2/13/21 8:15:00,3,FL,28.24,-81.97,28.24,-81.97
698157,2021,2,13,2/13/2021,15:35:00,2/13/21 15:35:00,3,NV,36.3177,-115.24,36.0702,-115.1026
698158,2021,2,13,2/13/2021,16:15:00,2/13/21 16:15:00,3,NV,35.9475,-114.8611,35.9475,-114.8611
698159,2021,2,13,2/13/2021,18:50:00,2/13/21 18:50:00,3,NM,35.16,-106.74,35.16,-106.74
698160,2021,2,15,2/15/2021,14:03:00,2/15/21 14:03:00,3,FL,30.21,-85.86,30.21,-85.86
698161,2021,2,15,2/15/2021,14:05:00,2/15/21 14:05:00,3,FL,30.22,-85.89,30.22,-85.89
698162,2021,2,15,2/15/2021,14:05:00,2/15/21 14:05:00,3,FL,30.23,-85.86,30.23,-85.86
698163,2021,2,15,2/15/2021,14:06:00,2/15/21 14:06:00,3,FL,30.213,-85.88,30.213,-85.88
698164,2021,2,15,2/15/2021,14:20:00,2/15/21 14:20:00,3,FL,30.33,-85.76,30.33,-85.76
698165,2021,2,15,2/15/2021,14:20:00,2/15/21 14:20:00,3,FL,30.4,-85.68,30.4,-85.68
698166,2021,2,15,2/15/2021,14:21:00,2/15/21 14:21:00,3,FL,30.41,-85.67,30.41,-85.67
698167,2021,2,15,2/15/2021,14:25:00,2/15/21 14:25:00,3,FL,30.29,-85.64,30.29,-85.64
698168,2021,2,15,2/15/2021,14:26:00,2/15/21 14:26:00,3,AL,31.2,-85.62,31.2,-85.62
698169,2021,2,15,2/15/2021,14:30:00,2/15/21 14:30:00,3,FL,30.38,-83.44,30.38,-83.44
698170,2021,2,15,2/15/2021,14:30:00,2/15/21 14:30:00,3,FL,30.54,-85.55,30.54,-85.55
698171,2021,2,15,2/15/2021,14:30:00,2/15/21 14:30:00,3,FL,30.18,-85.8,30.18,-85.8
698172,2021,2,15,2/15/2021,14:39:00,2/15/21 14:39:00,3,AL,31.55,-85.58,31.55,-85.58
698173,2021,2,15,2/15/2021,14:43:00,2/15/21 14:43:00,3,FL,30.6285,-85.3811,30.6285,-85.3811
698174,2021,2,15,2/15/2021,14:57:00,2/15/21 14:57:00,3,FL,30.53,-85.22,30.53,-85.22
698175,2021,2,15,2/15/2021,15:00:00,2/15/21 15:00:00,3,FL,30.63,-85.15,30.63,-85.15
698176,2021,2,15,2/15/2021,15:00:00,2/15/21 15:00:00,3,FL,30.56,-85.18,30.56,-85.18
698177,2021,2,15,2/15/2021,15:05:00,2/15/21 15:05:00,3,FL,30.44,-85.19,30.44,-85.19
698178,2021,2,15,2/15/2021,15:09:00,2/15/21 15:09:00,3,FL,30.83,-85.18,30.83,-85.18
698179,2021,2,15,2/15/2021,15:10:00,2/15/21 15:10:00,3,FL,30.65,-85.4,30.65,-85.4
698180,2021,2,15,2/15/2021,15:10:00,2/15/21 15:10:00,3,FL,30.6815,-85.3808,30.6815,-85.3808
698181,2021,2,15,2/15/2021,15:12:00,2/15/21 15:12:00,3,FL,30.23,-82.75,30.23,-82.75
698182,2021,2,15,2/15/2021,15:12:00,2/15/21 15:12:00,3,FL,30.18,-82.71,30.18,-82.71
698183,2021,2,15,2/15/2021,15:33:00,2/15/21 15:33:00,3,GA,31.22,-84.79,31.22,-84.79
698184,2021,2,15,2/15/2021,15:46:00,2/15/21 15:46:00,3,GA,31.4,-84.6,31.4,-84.6
698185,2021,2,15,2/15/2021,15:50:00,2/15/21 15:50:00,3,GA,30.9117,-84.5657,30.9117,-84.5657
698186,2021,2,15,2/15/2021,16:05:00,2/15/21 16:05:00,3,GA,31.0965,-84.4195,31.0965,-84.4195
698187,2021,2,15,2/15/2021,16:42:00,2/15/21 16:42:00,3,FL,30.6,-83.85,30.6,-83.85
698188,2021,2,15,2/15/2021,18:15:00,2/15/21 18:15:00,3,FL,29.63,-83.12,29.63,-83.12
698189,2021,2,15,2/15/2021,22:57:00,2/15/21 22:57:00,3,NC,34.127,-78.3541,34.1278,-78.3508
698190,2021,2,22,2/22/2021,12:40:00,2/22/21 12:40:00,3,NC,36.1351,-78.0967,36.1351,-78.0967
698191,2021,2,22,2/22/2021,13:10:00,2/22/21 13:10:00,3,VA,37.23,-76.67,37.23,-76.67
698192,2021,2,22,2/22/2021,13:10:00,2/22/21 13:10:00,3,VA,37.15,-76.53,37.15,-76.53
698193,2021,2,22,2/22/2021,13:30:00,2/22/21 13:30:00,3,VA,37.07,-76.33,37.07,-76.33
698194,2021,2,22,2/22/2021,13:30:00,2/22/21 13:30:00,3,NC,35.9997,-77.8713,35.9997,-77.8713
698195,2021,2,22,2/22/2021,13:41:00,2/22/21 13:41:00,3,VA,36.79,-76.6,36.79,-76.6
698196,2021,2,22,2/22/2021,13:56:00,2/22/21 13:56:00,3,VA,36.95,-76.25,36.95,-76.25
698197,2021,2,28,2/28/2021,14:30:00,2/28/21 14:30:00,3,AR,35.9854,-90.6322,35.9854,-90.6322
698198,2021,2,28,2/28/2021,14:54:00,2/28/21 14:54:00,3,AR,35.23,-92.38,35.23,-92.38
698199,2021,2,28,2/28/2021,15:32:00,2/28/21 15:32:00,3,AR,34.94,-92.21,34.94,-92.21
698200,2021,2,28,2/28/2021,17:40:00,2/28/21 17:40:00,3,AR,35.5,-90.15,35.5,-90.15
698201,2021,2,28,2/28/2021,18:17:00,2/28/21 18:17:00,3,TN,35.1668,-90.0004,35.1668,-90.0004
698202,2021,2,28,2/28/2021,18:35:00,2/28/21 18:35:00,3,TN,36.0099,-87.9153,36.0101,-87.9114
698203,2021,2,28,2/28/2021,19:44:00,2/28/21 19:44:00,3,KY,36.71,-85.69,36.71,-85.69
698204,2021,2,28,2/28/2021,19:45:00,2/28/21 19:45:00,3,TN,36.1509,-86.7647,36.1509,-86.7647
698205,2021,2,28,2/28/2021,19:52:00,2/28/21 19:52:00,3,KY,36.82,-85.46,36.82,-85.46
698206,2021,2,28,2/28/2021,20:15:00,2/28/21 20:15:00,3,TN,36.35,-85.65,36.35,-85.65
698207,2021,2,28,2/28/2021,20:15:00,2/28/21 20:15:00,3,MS,34.4607,-89.5042,34.3996,-89.5772
698208,2021,2,28,2/28/2021,20:30:00,2/28/21 20:30:00,3,TN,36.43,-85.25,36.43,-85.25
698209,2021,2,28,2/28/2021,21:30:00,2/28/21 21:30:00,3,TN,35.0512,-88.0632,35.0512,-88.0632
698210,2021,2,28,2/28/2021,21:53:00,2/28/21 21:53:00,3,MS,34.5,-88.22,34.5,-88.22
698211,2021,2,28,2/28/2021,21:54:00,2/28/21 21:54:00,3,TN,35.4925,-86.4162,35.4925,-86.4162
698212,2021,2,28,2/28/2021,21:55:00,2/28/21 21:55:00,3,TN,35.72,-86.4,35.72,-86.4
698213,2021,2,28,2/28/2021,21:56:00,2/28/21 21:56:00,3,TN,35.4835,-86.4185,35.4835,-86.4185
698214,2021,2,28,2/28/2021,21:58:00,2/28/21 21:58:00,3,TN,35.53,-86.35,35.53,-86.35
698215,2021,2,28,2/28/2021,22:05:00,2/28/21 22:05:00,3,AL,34.6891,-88.1176,34.6891,-88.1176
698216,2021,3,1,3/1/2021,4:13:00,3/1/21 4:13:00,3,GA,33.8033,-84.8341,33.8038,-84.8326
698217,2021,3,1,3/1/2021,4:20:00,3/1/21 4:20:00,3,GA,33.92,-84.6,33.9214,-84.5958
698218,2021,3,1,3/1/2021,5:06:00,3/1/21 5:06:00,3,GA,33.536,-84.4197,33.536,-84.4197
698219,2021,3,3,3/3/2021,5:23:00,3/3/21 5:23:00,3,FL,28.35,-82.19,28.35,-82.19
698220,2021,3,4,3/4/2021,15:00:00,3/4/21 15:00:00,3,KS,37.04,-101.97,37.04,-101.97
698221,2021,3,4,3/4/2021,15:22:00,3/4/21 15:22:00,3,KS,37.04,-101.97,37.04,-101.97
698222,2021,3,4,3/4/2021,15:30:00,3/4/21 15:30:00,3,KS,37.04,-101.97,37.04,-101.97
698223,2021,3,4,3/4/2021,16:23:00,3/4/21 16:23:00,3,KS,37.14,-101.9,37.14,-101.9
698224,2021,3,10,3/10/2021,18:52:00,3/10/21 18:52:00,3,MO,40.3,-93.68,40.3,-93.68
698225,2021,3,10,3/10/2021,20:36:00,3/10/21 20:36:00,3,KS,38.28,-95.25,38.28,-95.25
698226,2021,3,10,3/10/2021,22:03:00,3/10/21 22:03:00,3,KS,37.7,-95.67,37.7,-95.67
698227,2021,3,11,3/11/2021,14:25:00,3/11/21 14:25:00,3,MO,37.546,-90.2949,37.546,-90.2949
698228,2021,3,11,3/11/2021,14:43:00,3/11/21 14:43:00,3,MO,37.5434,-90.02,37.5434,-90.02
698229,2021,3,12,3/12/2021,2:05:00,3/12/21 2:05:00,3,KS,37.45,-100.01,37.45,-100.01
698230,2021,3,12,3/12/2021,2:45:00,3/12/21 2:45:00,3,KS,37.59,-99.47,37.59,-99.47
698231,2021,3,12,3/12/2021,2:50:00,3/12/21 2:50:00,3,KS,37.59,-99.42,37.59,-99.42
698232,2021,3,12,3/12/2021,2:59:00,3/12/21 2:59:00,3,KS,37.61,-99.29,37.61,-99.29
698233,2021,3,12,3/12/2021,3:15:00,3/12/21 3:15:00,3,KS,37.69,-99.13,37.69,-99.13
698234,2021,3,12,3/12/2021,3:45:00,3/12/21 3:45:00,3,KS,37.59,-99.47,37.59,-99.47
698235,2021,3,12,3/12/2021,3:47:00,3/12/21 3:47:00,3,KS,37.66,-98.74,37.66,-98.74
698236,2021,3,12,3/12/2021,3:55:00,3/12/21 3:55:00,3,KS,37.75,-98.59,37.75,-98.59
698237,2021,3,12,3/12/2021,3:59:00,3/12/21 3:59:00,3,KS,37.61,-99.29,37.61,-99.29
698238,2021,3,12,3/12/2021,5:20:00,3/12/21 5:20:00,3,KS,37.75,-98.3,37.75,-98.3
698239,2021,3,12,3/12/2021,5:40:00,3/12/21 5:40:00,3,KS,37.78,-98.02,37.78,-98.02
698240,2021,3,12,3/12/2021,5:40:00,3/12/21 5:40:00,3,KS,37.78,-98.02,37.78,-98.02
698241,2021,3,12,3/12/2021,5:50:00,3/12/21 5:50:00,3,KS,37.76,-97.72,37.76,-97.72
698242,2021,3,12,3/12/2021,5:50:00,3/12/21 5:50:00,3,KS,37.75,-97.68,37.75,-97.68
698243,2021,3,12,3/12/2021,6:12:00,3/12/21 6:12:00,3,KS,37.67,-97.58,37.67,-97.58
698244,2021,3,12,3/12/2021,6:25:00,3/12/21 6:25:00,3,KS,37.66,-97.31,37.66,-97.31
698245,2021,3,12,3/12/2021,18:56:00,3/12/21 18:56:00,3,TX,33.7701,-101,33.7701,-101
698246,2021,3,12,3/12/2021,19:19:00,3/12/21 19:19:00,3,TX,33.766,-100.8472,33.766,-100.8472
698247,2021,3,13,3/13/2021,13:40:00,3/13/21 13:40:00,3,NM,35.14,-103.11,35.14,-103.11
698248,2021,3,13,3/13/2021,14:29:00,3/13/21 14:29:00,3,TX,31.7614,-102.5403,31.7614,-102.5403
698249,2021,3,13,3/13/2021,15:53:00,3/13/21 15:53:00,3,TX,32.13,-101.8171,32.13,-101.8171
698250,2021,3,13,3/13/2021,16:03:00,3/13/21 16:03:00,3,TX,34.99,-101.69,34.99,-101.69
698251,2021,3,13,3/13/2021,16:20:00,3/13/21 16:20:00,3,TX,32.9845,-101.83,32.9845,-101.83
698252,2021,3,13,3/13/2021,16:53:00,3/13/21 16:53:00,3,TX,33.0815,-101.5162,33.0815,-101.5162
698253,2021,3,13,3/13/2021,17:15:00,3/13/21 17:15:00,3,TX,34.4312,-101.1865,34.4312,-101.1865
698254,2021,3,13,3/13/2021,17:51:00,3/13/21 17:51:00,3,TX,33.7701,-101,33.7701,-101
698255,2021,3,13,3/13/2021,18:01:00,3/13/21 18:01:00,3,TX,32.4,-100.85,32.4,-100.85
698256,2021,3,13,3/13/2021,19:20:00,3/13/21 19:20:00,3,TX,31.84,-100.98,31.84,-100.98
698257,2021,3,13,3/13/2021,19:59:00,3/13/21 19:59:00,3,TX,35.7,-100.64,35.7,-100.64
698258,2021,3,13,3/13/2021,20:11:00,3/13/21 20:11:00,3,TX,31.35,-100.5,31.35,-100.5
698259,2021,3,13,3/13/2021,20:20:00,3/13/21 20:20:00,3,OK,36.62,-100.26,36.62,-100.26
698260,2021,3,13,3/13/2021,20:53:00,3/13/21 20:53:00,3,TX,35.9,-100.4,35.9,-100.4
698261,2021,3,13,3/13/2021,21:00:00,3/13/21 21:00:00,3,OK,36.8,-100.53,36.8,-100.53
698262,2021,3,14,3/14/2021,2:00:00,3/14/21 2:00:00,3,NE,40.1627,-100.6507,40.1627,-100.6507
698263,2021,3,14,3/14/2021,11:45:00,3/14/21 11:45:00,3,KS,39.744,-101.767,39.744,-101.767
698264,2021,3,16,3/16/2021,12:49:00,3/16/21 12:49:00,3,AL,32.009,-86.33,32.009,-86.33
698265,2021,3,16,3/16/2021,14:30:00,3/16/21 14:30:00,3,LA,32.16,-91.72,32.16,-91.72
698266,2021,3,16,3/16/2021,15:25:00,3/16/21 15:25:00,3,LA,32.567,-91.4928,32.567,-91.4928
698267,2021,3,16,3/16/2021,15:37:00,3/16/21 15:37:00,3,LA,32.6555,-91.4402,32.6555,-91.4402
698268,2021,3,16,3/16/2021,16:06:00,3/16/21 16:06:00,3,LA,32.81,-91.18,32.81,-91.18
698269,2021,3,16,3/16/2021,20:21:00,3/16/21 20:21:00,3,TX,35.92,-100.28,35.92,-100.28
698270,2021,3,16,3/16/2021,20:26:00,3/16/21 20:26:00,3,TX,35.67,-101.28,35.67,-101.28
698271,2021,3,16,3/16/2021,21:00:00,3/16/21 21:00:00,3,OK,36.38,-99.61,36.38,-99.61
698272,2021,3,16,3/16/2021,21:07:00,3/16/21 21:07:00,3,TX,35.67,-101.28,35.67,-101.28
698273,2021,3,16,3/16/2021,21:18:00,3/16/21 21:18:00,3,TX,35.81,-100.91,35.81,-100.91
698274,2021,3,16,3/16/2021,21:30:00,3/16/21 21:30:00,3,OK,35.49,-98.76,35.49,-98.76
698275,2021,3,16,3/16/2021,21:35:00,3/16/21 21:35:00,3,OK,35.5,-98.78,35.5,-98.78
698276,2021,3,16,3/16/2021,21:55:00,3/16/21 21:55:00,3,OK,35.0165,-99.0947,35.0165,-99.0947
698277,2021,3,16,3/16/2021,22:09:00,3/16/21 22:09:00,3,TX,35.97,-100.46,35.97,-100.46
698278,2021,3,16,3/16/2021,22:15:00,3/16/21 22:15:00,3,OK,36.19,-99.05,36.19,-99.05
698279,2021,3,16,3/16/2021,22:15:00,3/16/21 22:15:00,3,TX,35.94,-100.37,35.94,-100.37
698280,2021,3,16,3/16/2021,22:20:00,3/16/21 22:20:00,3,OK,36.2,-99.07,36.2,-99.07
698281,2021,3,16,3/16/2021,22:32:00,3/16/21 22:32:00,3,TX,36.03,-100.24,36.03,-100.24
698282,2021,3,16,3/16/2021,23:00:00,3/16/21 23:00:00,3,OK,36.13,-100,36.13,-100
698283,2021,3,17,3/17/2021,0:30:00,3/17/21 0:30:00,3,TX,31.74,-99.95,31.74,-99.95
698284,2021,3,17,3/17/2021,0:50:00,3/17/21 0:50:00,3,OK,35.54,-98.94,35.54,-98.94
698285,2021,3,17,3/17/2021,1:30:00,3/17/21 1:30:00,3,TX,31.82,-99.1,31.82,-99.1
698286,2021,3,17,3/17/2021,1:30:00,3/17/21 1:30:00,3,TX,31.71,-98.99,31.71,-98.99
698287,2021,3,17,3/17/2021,1:35:00,3/17/21 1:35:00,3,TX,31.8,-98.95,31.8,-98.95
698288,2021,3,17,3/17/2021,2:04:00,3/17/21 2:04:00,3,TX,31.92,-98.6,31.92,-98.6
698289,2021,3,17,3/17/2021,2:59:00,3/17/21 2:59:00,3,TX,32.19,-97.7,32.19,-97.7
698290,2021,3,17,3/17/2021,3:15:00,3/17/21 3:15:00,3,OK,36.7,-96.72,36.7,-96.72
698291,2021,3,17,3/17/2021,3:24:00,3/17/21 3:24:00,3,TX,32.09,-97.35,32.09,-97.35
698292,2021,3,17,3/17/2021,3:35:00,3/17/21 3:35:00,3,TX,32.36,-97.43,32.36,-97.43
698293,2021,3,17,3/17/2021,3:43:00,3/17/21 3:43:00,3,TX,31.62,-97.23,31.62,-97.23
698294,2021,3,17,3/17/2021,3:56:00,3/17/21 3:56:00,3,TX,32.65,-97.03,32.65,-97.03
698295,2021,3,17,3/17/2021,4:01:00,3/17/21 4:01:00,3,TX,32.67,-97.1,32.67,-97.1
698296,2021,3,17,3/17/2021,4:06:00,3/17/21 4:06:00,3,TX,32.68,-96.87,32.68,-96.87
698297,2021,3,17,3/17/2021,4:30:00,3/17/21 4:30:00,3,TX,32.8758,-96.5158,32.8758,-96.5158
698298,2021,3,17,3/17/2021,4:32:00,3/17/21 4:32:00,3,TX,32.76,-96.4,32.76,-96.4
698299,2021,3,17,3/17/2021,4:45:00,3/17/21 4:45:00,3,KS,37.0769,-94.8359,37.0753,-94.8323
698300,2021,3,17,3/17/2021,4:56:00,3/17/21 4:56:00,3,TX,33.03,-96.12,33.03,-96.12
698301,2021,3,17,3/17/2021,4:56:00,3/17/21 4:56:00,3,TX,33.3,-96.27,33.3,-96.27
698302,2021,3,17,3/17/2021,5:00:00,3/17/21 5:00:00,3,TX,33.0076,-96.0623,33.0076,-96.0623
698303,2021,3,17,3/17/2021,5:27:00,3/17/21 5:27:00,3,TX,32.68,-95.71,32.68,-95.71
698304,2021,3,17,3/17/2021,5:30:00,3/17/21 5:30:00,3,MO,37.34,-94.3,37.338,-94.2948
698305,2021,3,17,3/17/2021,5:45:00,3/17/21 5:45:00,3,TX,33.0765,-95.2241,33.0765,-95.2241
698306,2021,3,17,3/17/2021,5:55:00,3/17/21 5:55:00,3,TX,32.6556,-95.228,32.6556,-95.228
698307,2021,3,17,3/17/2021,6:07:00,3/17/21 6:07:00,3,TX,33.1651,-94.9765,33.1651,-94.9765
698308,2021,3,17,3/17/2021,6:10:00,3/17/21 6:10:00,3,TX,33.1767,-94.9703,33.1767,-94.9703
698309,2021,3,17,3/17/2021,6:10:00,3/17/21 6:10:00,3,TX,33.1718,-94.9866,33.1718,-94.9866
698310,2021,3,17,3/17/2021,6:10:00,3/17/21 6:10:00,3,TX,33.2525,-94.8458,33.2525,-94.8458
698311,2021,3,17,3/17/2021,6:11:00,3/17/21 6:11:00,3,TX,33.4214,-94.6606,33.4214,-94.6606
698312,2021,3,17,3/17/2021,6:30:00,3/17/21 6:30:00,3,MS,34.32,-89.95,34.32,-89.95
698313,2021,3,17,3/17/2021,6:35:00,3/17/21 6:35:00,3,TX,32.2301,-95.052,32.2301,-95.052
698314,2021,3,17,3/17/2021,7:12:00,3/17/21 7:12:00,3,AR,33.9479,-93.8496,33.9479,-93.8496
698315,2021,3,17,3/17/2021,7:58:00,3/17/21 7:58:00,3,TX,32.6687,-94.1709,32.6687,-94.1709
698316,2021,3,17,3/17/2021,7:58:00,3/17/21 7:58:00,3,TX,32.1624,-94.3785,32.1624,-94.3785
698317,2021,3,17,3/17/2021,8:00:00,3/17/21 8:00:00,3,TX,32.3733,-94.1841,32.3733,-94.1841
698318,2021,3,17,3/17/2021,12:27:00,3/17/21 12:27:00,3,MS,31.6745,-90.2318,31.6745,-90.2318
698319,2021,3,17,3/17/2021,12:53:00,3/17/21 12:53:00,3,TN,35.4689,-88.8681,35.4908,-88.9045
